form,unique_id,start,Assessor organisation:,Province,District,Posto,Location name,latitude,longitude,Site characteristics:,Number of inhabitants before the cyclone/flood:,Number of inhabitants after the cyclone/flood (not including the displaced people):,Number of displaced people (IDPs):,How many mildly injured men have there been in your location as a result of the cyclone/flood?,How many severely injured men have there been in your location as a result of the cyclone/flood?,How many fatalities (men) have there been in your location as a result of the cyclone/flood?,How many mildly injured women have there been in your location as a result of the cyclone/flood?,How many severely injured women have there been in your location as a result of the cyclone/flood?,How many fatalities (women) have there been in your location as a result of the cyclone/flood?,How many mildly injured children (under 5 years) have there been in your location as a result of the cyclone/flood?,How many severely injured Children (under 5 years) have there been in your location as a result of the cyclone/flood?,How many fatalities children (under 5 years) have there been in your location as a result of the cyclone/flood?,Number of unusable classrooms,Has cholera been confirmed?,Have been any cases of Measles?,Have been any cases of Acute Watery Diarrhoea (liquid stool)?,Have been any cases of Malnutrition?,Have been any cases of Malaria?,Have been any cases of Acute Respiratory Diseases?,Any reports of Sexually Transmitted Diseases?,Is there a health centre in the area?,How many health centres are operational?,How many health centres are non-operational?,Is there a Hospital  in the area?,How many Hospitals are operational?,How many Hospitals are non-operational?
Multisectoral Assessment,site19,2019-03-29T04:03:30.948-04,INGO,Sofala,Cidade Da Beira,Cidade Da Beira,Inhamizua,-19.74770833,34.85788833,City,31995,31995,,0,0,2,0,0,0,0,0,1,0,No,No,Yes,No information,Yes,No information,No information,Yes,1,0,No,,
Multisectoral Assessment,site20,2019-03-29T07:43:28.604-04,INGO,Sofala,Cidade Da Beira,Cidade Da Beira,Inhamizua,-19.70736333,34.73386833,City,31995,31995,0,20,10,2,45,15,0,18,7,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1,0,No,,
Multisectoral Assessment,site21,2019-03-29T08:35:06.968-04,INGO,Sofala,Cidade Da Beira,Cidade Da Beira,Ndunda,-19.78295333,34.87866833,City,14000,14000,,800,50,60,20,10,0,10,0,0,3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,1,0,No,,
Multisectoral Assessment,site22,2019-03-29T07:46:53.010-04,Red cross,Sofala,Cidade Da Beira,Cidade Da Beira,Ndunda,-19.76645333,34.88170833,City,29898,3005,1800,3,3,6,3,2,10,13,2,10,11,Yes,No,Yes,Yes,Yes,No,No,No,,,No,,
Multisectoral Assessment,site23,2019-03-29T06:21:57.239-04,Red cross,Sofala,Cidade Da Beira,Cidade Da Beira,Chingussura,-19.74996,34.86038167,City,0,0,,0,0,0,0,0,0,0,0,0,15,Yes,No information,Yes,Yes,Yes,No information,Yes,Yes,1,0,No,,
Multisectoral Assessment,site24,2019-03-29T04:53:05.223-04,Red cross,Sofala,Cidade Da Beira,Cidade Da Beira,Vaz,-19.79232333,34.87006167,Village,10135,10135,14,1,0,0,1,0,0,1,0,1,14,Yes,No information,Yes,Yes,No information,No information,No information,No,,,No,,
Multisectoral Assessment,site25,2019-03-29T06:44:15.243-04,Red cross,Sofala,Cidade Da Beira,Cidade Da Beira,Vaz,-19.792955,34.869995,Village,10135,10135,0,1,0,0,1,0,0,0,0,0,7,Yes,No information,Yes,Yes,No information,No information,No information,No,,,No,,
Multisectoral Assessment,site26,2019-03-29T11:45:17.339+02,Red cross,Sofala,Cidade Da Beira,Cidade Da Beira,Vila Massane,-19.75169251,34.85668904,Village,27387,27387,53,7,0,6,3,2,0,0,0,2,10,Yes,No,Yes,No information,Yes,No information,No information,Yes,1,0,No,,
Multisectoral Assessment,site27,2019-03-29T15:20:56.869+02,Red cross,Sofala,Cidade Da Beira,Cidade Da Beira,Nhaconjo,-19.7639962,34.86826288,Village,2456,2456,,245,15,1,5,8,3,6,2,0,0,Yes,No information,Yes,No information,No information,No information,No information,Yes,1,0,No,,
Multisectoral Assessment,site28,2019-03-29T12:23:57.319+02,Red cross,Sofala,Cidade Da Beira,Cidade Da Beira,Chingussura,-19.74868148,34.85965409,City,0,0,,0,0,0,0,0,0,0,0,0,15,Yes,No information,Yes,Yes,Yes,No information,Yes,Yes,1,0,No,,
Multisectoral Assessment,site29,2019-04-04T09:21:47.041+02:00,Other,Sofala,Buzi,Buzi,,-20.143352,34.329838,Village,328,298,,0,0,1,0,0,0,0,0,0,0,No,No information,No,No,No information,No information,No information,No information,,,No information,,
Multisectoral Assessment,site30,2019-04-04T09:40:47.436+02:00,Other,Sofala,Nhamatanda,Nhamatanda,,-19.5908,34.02739,,0,550,,,,,,,,,,,,,,,,,,,,,,,,
Multisectoral Assessment,site31,2019-04-04T10:07:56.821+02:00,INGO,Sofala,Buzi,Buzi,,-19.864514,34.463281,,0,1800,,,,,,,,,,,,,,,,,,,,,,,,
Multisectoral Assessment,site32,2019-04-04T10:20:36.990+02:00,INGO,Sofala,Buzi,Buzi,,-19.741456,33.859822,,600,0,,,,,,,,,,,,,,,,,,,,,,,,
Multisectoral Assessment,site33,2019-04-04T10:44:36.479+02:00,INGO,Sofala,Buzi,Buzi,,-19.844299,34.081847,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Multisectoral Assessment,site34,2019-04-04T10:51:48.494+02:00,INGO,Sofala,Buzi,Buzi,,-19.865349,34.459207,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Multisectoral Assessment,site35,2019-04-07T15:14:46.582+02:00,INGO,Sofala,Buzi,Buzi,,-19.86394333,34.45853667,,17640,17640,,,,,,,,,,,,,,,,,,,,,,,,
Multisectoral Assessment,site36,2019-04-07T16:17:58.886+02:00,INGO,Sofala,Buzi,Buzi,,-19.823571,33.985966,,27971,4654,,,,,,,,,,,,,,,,,,,,,,,,
Multisectoral Assessment,site37,2019-04-06T15:56:07.601+02:00,INGO,Sofala,Nhamatanda,Nhamatanda,,-19.152897,34.202722,,15976,14956,,,,,,,,,,,,,,,,,,,,,,,,
Multisectoral Assessment,site38,2019-04-09T08:03:17.230+02,Other,Sofala,Nhamatanda,Nhamatanda,,-19.79877506,34.90305163,,302,1226,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site39,2019-04-03T05:16:58.078-04,Bento Melgado,Sofala,Buzi,Sofala,Munamicua,-19.94492333,34.54248167,Village,2737,2729,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site40,2019-04-03T05:18:02.996-04,Rita Maiza,Sofala,Buzi,Buzi,"Localidade de Bandua, Munamicua",-19.94487667,34.54245167,Village,2737,2729,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site41,2019-04-03T05:18:02.996-04,Rita Maiza,Sofala,Buzi,Buzi,"Localidade de Bandua, Munamicua",-19.94487667,34.54245167,Village,2737,2729,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site42,2019-04-05T13:10:29.529+02,Rosa lai Mandala,Sofala,Nhamatanda,Nhamatanda,Chirassicua,0,0,Other,14300,30,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site43,2019-04-05T17:59:32.890+02,Gert Jan Pieterse,Sofala,Nhamatanda,Tica,Crumawe,0,0,Other,250,250,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site44,2019-04-05T14:29:14.680+02,Matthew Saxton,Sofala,Buzi,Buzi,USSINGUE,-19.79888245,34.903099,Other,366,366,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site45,2019-04-06T13:16:38.244+02,Anizio Chicote,Sofala,Nhamatanda,Nhamatanda,Matenga,-19.050405,34.06982177,Other,15976,15976,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site46,2019-04-06T16:28:33.574+02,Anizio Chicote,Sofala,Nhamatanda,Nhamatanda,Metuchira,-19.17710531,34.21204811,Other,18000,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site47,2019-04-06T15:24:18.832+02,Jone/Mavie,Manica,Gondola,Macate,Chichassa,-19.31008057,33.49298319,Other,11704,11704,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site48,2019-04-05T08:08:15.822+02,Vincent,Manica,Cidade De Chimoio,Cidade De Chimoio,Tambara2,0,0,City neighbourhood,13000,11000,,,,,,,,,,,,,,,,,,,,,,,,
