form,unique_id,start,Assessor organisation:,Province,District,Posto,Location name,latitude,longitude,Site characteristics:,Number of inhabitants before the cyclone/flood:,Number of inhabitants after the cyclone/flood (not including the displaced people):,Number of displaced people (IDPs):,How many mildly injured men have there been in your location as a result of the cyclone/flood?,How many severely injured men have there been in your location as a result of the cyclone/flood?,How many fatalities (men) have there been in your location as a result of the cyclone/flood?,How many mildly injured women have there been in your location as a result of the cyclone/flood?,How many severely injured women have there been in your location as a result of the cyclone/flood?,How many fatalities (women) have there been in your location as a result of the cyclone/flood?,How many mildly injured children (under 5 years) have there been in your location as a result of the cyclone/flood?,How many severely injured Children (under 5 years) have there been in your location as a result of the cyclone/flood?,How many fatalities children (under 5 years) have there been in your location as a result of the cyclone/flood?,Number of unusable classrooms,Has cholera been confirmed?,Have been any cases of Measles?,Have been any cases of Acute Watery Diarrhoea (liquid stool)?,Have been any cases of Malnutrition?,Have been any cases of Malaria?,Have been any cases of Acute Respiratory Diseases?,Any reports of Sexually Transmitted Diseases?,Is there a health centre in the area?,How many health centres are operational?,How many health centres are non-operational?,Is there a Hospital  in the area?,How many Hospitals are operational?,How many Hospitals are non-operational?
Rapid Needs Assessment,site105,2019-04-09T13:20:16.412+02,Stelio fernando,Manica,Gondola,Zembe,Sede de zembe,-19.29967963,33.30562283,Village,2610,2610,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site106,2019-04-09T15:25:52.967+02,Agostinho nhaca junior,Manica,Cidade De Chimoio,Cidade De Chimoio,Piloto,-19.08780159,33.4574711,City neighbourhood,8850,8850,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site107,2019-04-09T07:39:23.278+02,Arnaldo,Manica,Sussundenga,Sussundenga,Munhinga Sussudenga Sede,-19.55780986,33.31764188,Village,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site108,2019-04-09T07:37:08.717+02,Bibiana chando,Manica,Sussundenga,Sussundenga,Muninga _Chichira ,-19.56705541,33.33619677,Village,1430,1430,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site109,2019-04-09T12:00:18.456+02,Eurico Jemusse,Manica,Sussundenga,Sussundenga,Muninga _ Chichesse,-19.53003647,33.3599528,Village,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site110,2019-04-09T13:31:56.026+02,Eurico Jemusse,Manica,Sussundenga,Sussundenga,Munhinga,-19.48887148,33.2850365,City neighbourhood,16785,16785,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site111,2019-04-09T15:51:27.347+02,Bibiana  chando,Manica,Sussundenga,Sussundenga,Muzoria,-19.41445322,33.31093118,Village,3870,3870,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site112,2019-04-09T12:25:41.337+02,Nino Elias Gavumende,Manica,Sussundenga,Sussundenga,Munhimga,-19.49366676,33.39114088,Village,1166,1166,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site113,2019-04-09T14:37:59.091+02,Arnaldo,Manica,Sussundenga,Sussundenga,Ssusudenga Sede,-19.41428573,33.29348576,Town,36216,36216,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site114,2019-04-09T15:51:02.605+02,Nino  Elias,Manica,Sussundenga,Sussundenga,Chassimba birro de sussumdenga,0,0,Village,896,896,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site115,2019-04-09T11:05:05.244+02,Mirna RogÃ©rio Barata,Sofala,Dondo,Mafambisse,Mafambisse,-19.53899042,34.62732255,City neighbourhood,550,450,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site116,2019-04-09T14:25:54.995+02,Mirna RogÃ©rio Barata,Sofala,Dondo,Mafambisse,Mafambisse,-19.5408051,34.62585006,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site117,2019-04-09T15:08:44.795+02,Mirna RogÃ©rio Barata,Sofala,Dondo,Mafambisse,Mafambisse,-19.54102218,34.62609143,City neighbourhood,250,250,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site118,2019-04-09T05:04:03.444-04,Arafate Manuel Ali,Sofala,Dondo,Dondo,Dondo,0,0,Resettlement centre or neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site119,2019-04-09T07:27:01.113-04,Arafate Manuel Ali,Sofala,Dondo,Mafambisse,Mutua,0,0,Village,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site120,2019-04-09T08:20:57.900-04,Arafate Manuel Ali,Sofala,Dondo,Mafambisse,Mutua,0,0,Village,5715,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site121,2019-04-08T17:21:35.914+02,Ivan,Sofala,Dondo,Dondo,A,0,0,Resettlement centre or neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site122,2019-04-09T11:15:06.641+02,Admira ,Sofala,Dondo,Dondo,Samora Machel,0,0,Resettlement centre or neighbourhood,99,700,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site123,2019-04-09T12:57:12.239+02,Admira AntÃ_nio,Sofala,Dondo,Mafambisse,Mafambisse,0,0,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site124,2019-04-09T10:35:32.024+02,Daniel,Sofala,Dondo,Mafambisse,Mafambisse,0,0,Resettlement centre or neighbourhood,99,3400,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site125,2019-04-09T12:56:05.031+02,Daniel Jorge Carlos,Sofala,Dondo,Mafambisse,Mutua,0,0,Resettlement centre or neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site126,2019-04-09T14:22:53.225+02,Genita pires ,Sofala,Dondo,Mafambisse,Mutua,0,0,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site127,2019-04-09T05:13:33.717-04,hilario,Sofala,Dondo,Mafambisse,bairro 25,0,0,City neighbourhood,1000,280,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site128,2019-04-09T08:36:52.898-04,Hilario,Sofala,Dondo,Dondo,mutuwa,0,0,City neighbourhood,88,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site129,2019-04-09T07:16:02.091-04,Hamana Irene,Sofala,Dondo,Dondo,Nhamayabue,-19.60704,34.74326,City neighbourhood,12864,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site130,2019-04-09T09:02:27.403-04,Hamana Irene,Sofala,Dondo,Dondo,Zona Central,-19.61423167,34.74073167,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site131,2019-04-09T05:52:56.132-04,JoÃ£o LuÃ_s,Sofala,Dondo,Dondo,Nhamayabue,-19.61206833,34.73818833,City neighbourhood,24184,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site132,2019-04-09T10:52:29.602-04,JoÃ£o LuÃ_s,Sofala,Dondo,Dondo,Nhamayabue,0,0,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site133,2019-04-09T11:28:10.810-04,JoÃ£o LuÃ_s,Sofala,Dondo,Dondo,Nhamayabue,0,0,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site134,2019-04-07T08:36:08.614-04,Nelito Soares,Sofala,Dondo,Dondo,Samora Machel,0,0,Resettlement centre or neighbourhood,99,700,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site135,2019-04-09T06:48:45.053-04,Nelito Soares,Sofala,Dondo,Mafambisse,Mafambisse,0,0,Resettlement centre or neighbourhood,45000,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site136,2019-04-09T10:17:57.804+02,Salomao munahaland,Manica,Sussundenga,Sussundenga,Madica,-19.37734517,33.17021356,Village,8000,8000,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site137,2019-04-09T12:16:27.361+02,Salomao munahaland,Manica,Sussundenga,Sussundenga,Mupandeia,-19.35245495,33.08074599,Village,160000,15990,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site138,2019-04-09T05:13:01.874-04,Shelcia Milena zandamela,Sofala,Dondo,Dondo,Samora machel,0,0,City neighbourhood,70110,70104,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site139,2019-04-09T06:46:35.487-04,Shelcia milena zandamela,Sofala,Dondo,Mafambisse,Mafanbisse,0,0,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site140,2019-04-09T08:47:16.883-04,Shelcia Milena zandamela,Sofala,Dondo,Mafambisse,Mafanbisse,0,0,City neighbourhood,17386,17382,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site141,2019-04-09T10:02:19.830+02,Nathaniel,Manica,Sussundenga,Sussundenga,Chinaca,-19.38999755,33.20557089,Village,1500,1499,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site142,2019-04-09T11:37:53.829+02,Melita,Manica,Sussundenga,Sussundenga,Mussessa,-19.37211712,33.13563883,Village,99,2500,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site143,2019-04-09T10:04:47.854+01,Marilia,Sofala,Dondo,Dondo,MÃºtua,0,0,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site144,2019-04-09T14:53:25.408+02,Genita pires,Sofala,Dondo,Mafambisse,Mutua,0,0,Other,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site145,2019-04-09T12:06:29.266+01,Marilia,Sofala,Dondo,Dondo,MÃºtua,0,0,Other,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site146,2019-04-09T13:03:56.526+01,Marilia,Sofala,Dondo,Dondo,MÃºtua,0,0,Other,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site147,2019-04-09T05:53:15.627-04,Zefanias Nhampa,Sofala,Dondo,Dondo,Concito,-19.61751667,34.74117667,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site148,2019-04-09T07:31:49.308-04,Zefanias Nhampa,Sofala,Dondo,Dondo,Mandruzi,0,0,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site149,2019-04-09T09:05:23.030-04,Zefanias Nhampa,Sofala,Dondo,Dondo,Nhamaiabo,-19.61397167,34.74042833,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site150,2019-04-09T10:37:28.843-04,Zefanias nhampa,Sofala,Dondo,Dondo,Consito,0,0,City neighbourhood,12311,12425,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site151,2019-04-09T11:04:08.161+02,Pedro/ Mavie,Manica,Sussundenga,Dombe,Povoado DÃ¡ruÃ¨ sede.,-19.78919582,33.35085983,Village,2000,1996,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site152,2019-04-09T13:46:40.045+02,Pedro/Mavie,Manica,Sussundenga,Dombe,Seventine,-19.80768022,33.32287197,Village,2315,2315,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site153,2019-04-09T15:20:32.612+02,Pedro/Mavie,Manica,Sussundenga,Dombe,DÃ¡ruÃ¨-mpunga Mucuawaio,-19.80675518,33.32277663,Village,738,738,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site154,2019-04-09T10:08:54.925+02,Vicente,Manica,Sussundenga,Sussundenga,Darwi,0,0,Village,575000,575000,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site155,2019-04-09T13:33:42.289+02,Vicente,Manica,Sussundenga,Dombe,Muawa,-19.84020763,33.30593336,Village,2190,3000,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site156,2019-04-09T15:07:22.815+02,Vicente ,Manica,Sussundenga,Dombe,DÃ¡ruÃ©(Sanguene),-19.78691642,33.35151196,Village,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site157,2019-04-09T08:45:02.724+02,InÃªs Gucio,Sofala,Dondo,Mafambisse,Mafambisse,0,0,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site158,2019-04-09T09:22:38.518+02,Nhamazuando Joaquim,Sofala,Dondo,Dondo,Mafambisse,0,0,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site159,2019-04-09T10:14:16.301+02,SimÃµes Tomocene Iaiane,Sofala,Dondo,Dondo,Mafio,0,0,City neighbourhood,1800,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site160,2019-04-09T10:53:06.100+02,Lucas Waete,Sofala,Dondo,Dondo,Canhandula,0,0,City neighbourhood,12310,12290,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site161,2019-04-09T11:34:30.982+02,Joaquim Pita,Sofala,Dondo,Dondo,Savane,0,0,Village,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site162,2019-04-09T12:20:11.562+02,Meneses Herculano Meneses,Sofala,Dondo,Dondo,"Nhamaiabwe,Massamba",0,0,City neighbourhood,1300,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site163,2019-04-09T14:02:11.407+02,LavinÃ_ Herinques Baera,Sofala,Dondo,Dondo,Mutua,0,0,Village,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site164,2019-04-09T14:44:10.610+02,Filipe JoÃ£o Da Cruz Coimbra,Sofala,Dondo,Dondo,Mafarinha,0,0,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site165,2019-04-09T15:25:23.260+02, Artur Verniz Jonasse,Sofala,Dondo,Dondo,Madruz,0,0,Other,99,700,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site166,2019-04-09T15:43:03.884+02,JosÃ© M. Aleixo,Sofala,Dondo,Dondo,Dondo,0,0,City neighbourhood,12370,12280,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site167,2019-04-09T16:00:01.628+02,Domingos Assane,Sofala,Dondo,Mafambisse,Mutua,0,0,City neighbourhood,800,800,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site168,2019-04-09T16:15:50.297+02,JosÃ© Tauro,Sofala,Dondo,Dondo,Dondo,0,0,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site169,2019-04-09T16:34:36.003+02,Laurinda joÃ£o,Sofala,Dondo,Mafambisse,Mutua,0,0,City neighbourhood,900,900,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site170,2019-04-09T16:46:40.285+02,Nhamaiau Nguiraze,Sofala,Dondo,Dondo,Magologodo,0,0,City neighbourhood,1750,1500,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site171,2019-04-09T16:58:54.745+02,Salmo TomÃ¡s Fernando,Sofala,Muanza,Muanza,Muanza-sede,0,0,City neighbourhood,40015,40012,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site172,2019-04-09T17:10:58.712+02,Macindo Manuel Moisse,Sofala,Cidade Da Beira,Cidade Da Beira,Chonja,0,0,City neighbourhood,850,490,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site173,2019-04-09T17:25:58.008+02,SelÃ§o Bulaque Iaca,Sofala,Cidade Da Beira,Cidade Da Beira,Mungassa,0,0,City neighbourhood,736,50,,,,,,,,,,,,,,,,,,,,,,,,
