epoca,periodo,provincia,distrito_old,distrito,provincia_pcode,distrito_pcode,avisos,ocorrencia_,chuvas,ventos_fortes,descarga_atmosferica,data,pessoas_afectadas_,familias__afectadas_,pessoas_indirectamente_afectadas,familias_indirectamente_afectadas,feridos,obitos,obitos2,grupos_vulneraveis,casas_parcialmente_dest,casas_totalmente_destr,casas_inundadas,escolas_afectadas,salas_de_aulas_parcialmente_destruidas,salas_de_aulas_totalmente_destruidas,alunos_afectados,prof_afectados,casas_de_culto,unidades_sanitarias,hospital_parcialmente_destruidas,hospital_totalmente_destruidas,centro_de_saude_parcialmente_destruidas,postes_de_energia,rede_de_pesca,embarcacoes,posto_de_transformacao,posto_policial,pensoes_para_hospedagem,sistema_de_abastecimento_de_agua,area_afectada_ha,familias_afectadas,accoes_em_curso,observacoes
2017-2018,Dezembro,Nampula,Mogovolas,Mogovolas,MZ09,MZ0313,n/a,Chuvas e ventos fortes,1,TRUE,0,12/26/2017,550,110,n/a,n/a,n/a,n/a,n/a,n/a,74,36,n/a,n/a,5,n/a,n/a,n/a,7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Mogovolas,Mogovolas,MZ09,MZ0313,n/a,Chuvas e ventos fortes,1,TRUE,0,1/15/2018,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,2,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Fevereiro,Nampula,Mogovolas,Mogovolas,MZ09,MZ0313,n/a,Chuvas acompanhadas de Trovoadas,1,FALSE,0,2/6/2018,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Zambezia,Molundo,Molumbo,MZ04,MZ0415,n/a,Chuvas e ventos fortes,1,TRUE,0,11/2/2016,385,77,n/a,n/a,n/a,n/a,n/a,n/a,32,45,n/a,2,n/a,5,n/a,n/a,4,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Zambezia,Molundo,Molumbo,MZ09,MZ0415,n/a,Descarga atmosferica,0,FALSE,1,11/9/2017,710,142,n/a,n/a,n/a,n/a,n/a,n/a,142,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Moma,Moma,MZ09,MZ0314,n/a,Chuvas e ventos fortes,1,TRUE,0,1/18/2018,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Monapo,Monapo,MZ03,MZ0315,n/a,Chuvas e ventos fortes,1,TRUE,0,12/3/2016,1640,328,n/a,n/a,2,n/a,n/a,n/a,328,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Monapo,Monapo,MZ03,MZ0315,n/a,Chuvas e ventos fortes,1,TRUE,0,2/20/2017,45,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Monapo,Monapo,MZ09,MZ0315,n/a,Chuvas e ventos fortes,1,TRUE,0,1/15/2018,35660,7132,n/a,n/a,n/a,n/a,n/a,n/a,3257,3875,n/a,n/a,47,24,n/a,n/a,6,n/a,n/a,n/a,n/a,22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Cabo_Delgado,Montepuez,Montepuez,MZ02,MZ0211,n/a,Chuvas e ventos fortes,1,TRUE,0,12/26/2016,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Cabo_Delgado,Montepuez,Montepuez,MZ02,MZ0211,n/a,Chuvas e ventos fortes,1,TRUE,0,1/21/2017,665,133,n/a,n/a,n/a,n/a,n/a,n/a,127,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Cabo_Delgado,Montepuez,Montepuez,MZ09,MZ0211,n/a,Chuvas fortes,1,FALSE,0,11/27/2017,465,92,n/a,n/a,n/a,n/a,n/a,n/a,92,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Cabo_Delgado,Montepuez,Montepuez,MZ09,MZ0211,n/a,Chuvas fortes,1,FALSE,0,11/27/2017,600,120,n/a,n/a,n/a,1,1,n/a,120,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Dezembro,Cabo_Delgado,Montepuez,Montepuez,MZ09,MZ0211,n/a,Chuvas e ventos fortes,1,TRUE,0,12/4/2017,30,6,n/a,n/a,2,1,1,n/a,6,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Cabo_Delgado,Montepuez,Montepuez,MZ09,MZ0211,n/a,Chuvas e ventos fortes,1,TRUE,0,1/25/2018,243,89,n/a,n/a,n/a,n/a,n/a,n/a,42,46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Zambezia,Mopeia,Mopeia,MZ04,MZ0416,n/a,Chuvas e ventos fortes,1,TRUE,0,11/5/2016,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,n/a,102,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Zambezia,Mopeia,Mopeia,MZ09,MZ0416,n/a,Ventos fortes,0,TRUE,0,1/2/2018,10,2,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Zambezia,Morrumbala,Morrumbala,MZ04,MZ0417,n/a,Chuvas e ventos fortes,1,TRUE,0,11/26/2016,140,28,n/a,n/a,n/a,n/a,n/a,n/a,28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Zambezia,Morrumbala,Morrumbala,MZ04,MZ0417,n/a,Chuvas fortes,1,FALSE,0,3/26/2017,6,1,n/a,n/a,3,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Dezembro,Zambezia,Morrumbala,Morrumbala,MZ09,MZ0417,n/a,Chuvas fortes,1,FALSE,0,12/26/2017,n/a,n/a,n/a,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Zambezia,Morrumbala,Morrumbala,MZ09,MZ0417,n/a,Ventos fortes,0,TRUE,0,1/2/2018,25,5,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Zambezia,Morrumbala,Morrumbala,MZ09,MZ0417,n/a,Chuvas e ventos fortes,1,TRUE,0,1/2/2018,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Inhambane,Morrumbene,Morrumbene,MZ08,MZ0811,n/a,Ciclone,0,FALSE,0,2/15/2017,31837,8963,n/a,n/a,14,n/a,n/a,n/a,6768,2183,n/a,n/a,n/a,373,n/a,n/a,n/a,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Mossuril,Mossuril,MZ03,MZ0316,n/a,Descarga atmosferica,0,FALSE,1,1/5/2017,5,1,n/a,n/a,2,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Mossuril,Mossuril,MZ03,MZ0316,n/a,Descarga atmosferica,0,FALSE,1,2/5/2017,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Mossuril,Mossuril,MZ03,MZ0316,n/a,Chuvas e ventos fortes,1,TRUE,0,2/22/2017,380,76,n/a,n/a,1,n/a,n/a,n/a,64,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Mossuril,Mossuril,MZ09,MZ0316,n/a,Chuvas e ventos fortes,1,TRUE,0,1/15/2018,7775,1555,n/a,n/a,n/a,n/a,n/a,n/a,1555,n/a,n/a,n/a,23,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a,26,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Mossuril,Mossuril,MZ09,MZ0316,n/a,Chuvas fortes,1,FALSE,0,1/16/2018,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Manica,Mossurizi,Mossuril,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/14/2019,4108,1003,n/a,n/a,1,n/a,2,n/a,1040,1286,n/a,26,10,45,4805,72,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,90,190557,35128,n/a,n/a
2016-2017,n/a,Sofala,Muanza,Muanza,MZ07,MZ0712,n/a,Chuvas e ventos fortes,1,TRUE,0,11/19/2016,105,21,n/a,n/a,n/a,n/a,n/a,n/a,21,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Dezembro,Sofala,Muanza,Muanza,MZ09,MZ0712,n/a,Vendaval,0,FALSE,0,12/13/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Dezembro,Sofala,Muanza,Muanza,MZ09,MZ0712,n/a,Chuvas e ventos fortes,1,TRUE,0,12/26/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Sofala,Muanza,Muanza,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/14/2019,36525,7305,n/a,n/a,4,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1006,34,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,682,4408,n/a,n/a
2016-2017,n/a,Nampula,Muecate,Muecate,MZ03,MZ0317,n/a,Ventos fortes,0,TRUE,0,12/30/2016,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Muecate,Muecate,MZ09,MZ0317,n/a,Chuvas fortes,1,FALSE,0,1/9/2018,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Muecate,Muecate,MZ09,MZ0317,n/a,Chuvas e ventos fortes,1,TRUE,0,1/15/2018,2115,425,n/a,n/a,n/a,n/a,n/a,n/a,425,n/a,n/a,n/a,39,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Dezembro,Cabo_Delgado,Mueda,Mueda,MZ09,MZ0212,n/a,Chuvas e ventos fortes,1,TRUE,0,12/2/2017,95,19,n/a,n/a,n/a,n/a,n/a,n/a,16,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Niassa,Muembe,Muembe,MZ01,MZ0113,n/a,Descarga atmosferica,0,FALSE,1,2/11/2017,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Niassa,Muembe,Muembe,MZ09,MZ0113,n/a,Chuvas e ventos fortes,1,TRUE,0,1/9/2018,30,6,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Cabo_Delgado,Muidumbe,Muidumbe,MZ02,MZ0213,n/a,Chuvas e ventos fortes,1,TRUE,0,2/22/2017,30,6,n/a,n/a,n/a,n/a,n/a,n/a,5,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Cabo_Delgado,Muidumbe,Muidumbe,MZ02,MZ0213,n/a,Inundades,0,FALSE,0,4/1/2017,20,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Cabo_Delgado,Muidumbe,Muidumbe,MZ09,MZ0213,n/a,Chuvas e ventos fortes,1,TRUE,0,1/18/2018,550,110,n/a,n/a,n/a,n/a,n/a,n/a,67,77,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Murrupula,Murrupula,MZ03,MZ0318,n/a,Chuvas fortes,1,FALSE,0,1/3/2017,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Murrupula,Murrupula,MZ03,MZ0318,n/a,Chuvas e ventos fortes,1,TRUE,0,2/18/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Murrupula,Murrupula,MZ09,MZ0318,n/a,Chuvas fortes,1,FALSE,0,1/16/2018,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Tete,Mutarara,Mutarara,MZ05,MZ0513,n/a,Ventos fortes,0,TRUE,0,10/3/2016,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Tete,Mutarara,Mutarara,MZ05,MZ0513,n/a,Chuvas e ventos fortes,1,TRUE,0,1/21/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Tete,Mutarara,Mutarara,MZ05,MZ0513,n/a,Descarga atmosferica,0,FALSE,1,1/28/2017,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Tete,Mutarara,Mutarara,MZ05,MZ0513,n/a,Depressao tropical,0,FALSE,0,3/6/2019,155,31,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Tete,Mutarara,Mutarara,MZ05,MZ0513,n/a,Depressao tropical,0,FALSE,0,3/8/2019,3765,753,n/a,n/a,n/a,1,1,n/a,242,511,n/a,8,18,n/a,1562,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4341,4483,n/a,n/a
2016-2017,n/a,Maputo,n/a,n/a,MZ10,n/a,n/a,Ventos fortes,0,TRUE,0,10/24/2016,22460,4492,n/a,n/a,51,n/a,n/a,n/a,4018,474,n/a,65,155,31,n/a,n/a,n/a,7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Nacala Porto,Nacala Porto,MZ03,MZ0319,n/a,Chuvas fortes,1,FALSE,0,1/10/2017,660,132,n/a,n/a,n/a,n/a,n/a,n/a,88,44,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Nampula,Nacala Porto,Nacala Porto,MZ09,MZ0319,n/a,Chuvas fortes,1,FALSE,0,11/21/2017,27,7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Nacala Porto,Nacala Porto,MZ09,MZ0319,n/a,Chuvas fortes,1,FALSE,0,1/8/2018,25,5,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Nacala Porto,Nacala Porto,MZ09,MZ0319,n/a,Chuvas e ventos fortes,1,TRUE,0,1/15/2018,400,80,n/a,n/a,n/a,n/a,n/a,n/a,80,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Nacala Porto,Nacala Porto,MZ09,MZ0319,n/a,Chuvas e ventos fortes,1,TRUE,0,1/18/2018,2256,451,n/a,n/a,n/a,n/a,n/a,n/a,275,176,n/a,n/a,n/a,3,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Nacala Velha,Nacala Velha,MZ03,MZ0320,n/a,Chuvas e ventos fortes,1,TRUE,0,2/18/2017,95,19,n/a,n/a,n/a,n/a,n/a,n/a,19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Nacala Velha,Nacala Velha,MZ03,MZ0320,n/a,Chuvas fortes,1,FALSE,0,2/20/2017,155,31,n/a,n/a,n/a,n/a,n/a,n/a,31,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Dezembro,Nampula,Nacala Velha,Nacala Velha,MZ09,MZ0320,n/a,Chuvas e ventos fortes,1,TRUE,0,12/17/2017,105,21,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Dezembro,Nampula,Nacala Velha,Nacala Velha,MZ09,MZ0320,n/a,Chuvas e ventos fortes,1,TRUE,0,11/18/2017,105,21,n/a,n/a,n/a,n/a,n/a,n/a,21,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Nacala Velha,Nacala Velha,MZ09,MZ0320,n/a,Chuvas e ventos fortes,1,TRUE,0,1/15/2018,1225,245,n/a,n/a,n/a,n/a,n/a,n/a,170,75,n/a,n/a,7,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Nacaroa,Nacaroa,MZ03,MZ0321,n/a,Chuvas e ventos fortes,1,TRUE,0,1/11/2017,390,78,n/a,n/a,n/a,n/a,n/a,n/a,78,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Outubro,Nampula,Nacaroa,Nacaroa,MZ09,MZ0321,n/a,Chuvas e ventos fortes,1,TRUE,0,11/2/2017,45,9,n/a,n/a,3,n/a,n/a,n/a,9,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Nacaroa,Nacaroa,MZ09,MZ0321,n/a,Chuvas e ventos fortes,1,TRUE,0,1/9/2018,70,14,n/a,n/a,n/a,n/a,n/a,n/a,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Nacaroa,Nacaroa,MZ09,MZ0321,n/a,Chuvas e ventos fortes,1,TRUE,0,1/15/2018,3010,602,n/a,n/a,n/a,n/a,n/a,n/a,39,6,n/a,n/a,3,7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Maputo,Namaacha,Namaacha,MZ10,MZ1008,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Maputo,Namaacha,Namaacha,MZ10,MZ1008,n/a,Chuvas e ventos fortes,1,TRUE,0,1/25/2017,5,1,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Cabo_Delgado,Namuno,Namuno,MZ09,MZ0214,n/a,Chuvas e ventos fortes,1,TRUE,0,1/2/2018,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Cabo_Delgado,Namuno,Namuno,MZ09,MZ0214,n/a,Chuvas e ventos fortes,1,TRUE,0,1/18/2018,2245,449,n/a,n/a,n/a,n/a,n/a,n/a,8,449,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Cabo_Delgado,Nangade,Nangade,MZ09,MZ0215,n/a,Chuvas e ventos fortes,1,TRUE,0,1/19/2018,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
