epoca,periodo,provincia,distrito,provincia_pcode,distrito_pcode,avisos,ocorrencia_,chuvas,ventos_fortes,descarga_atmosferica,data,pessoas_afectadas_,familias__afectadas_,pessoas_indirectamente_afectadas,familias_indirectamente_afectadas,feridos,obitos,obitos2,grupos_vulneraveis,casas_parcialmente_dest,casas_totalmente_destr,casas_inundadas,escolas_afectadas,salas_de_aulas_parcialmente_destruidas,salas_de_aulas_totalmente_destruidas,alunos_afectados,prof_afectados,casas_de_culto,unidades_sanitarias,hospital_parcialmente_destruidas,hospital_totalmente_destruidas,centro_de_saude_parcialmente_destruidas,postes_de_energia,rede_de_pesca,embarcacoes,posto_de_transformacao,posto_policial,pensoes_para_hospedagem,sistema_de_abastecimento_de_agua,area_afectada_ha,familias_afectadas,accoes_em_curso,observacoes
2016-2017,,Tete,Zumbu,MZ05,MZ0515,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-11-25,170,34,0,0,0,0,0,0,30,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Tete,Cidade de Tete,MZ05,MZ0501,n/a,Ventos fortes,0,TRUE,0,2016-11-26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Tete,Magoe,MZ05,MZ0509,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-11-27,45,9,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Tete,Zumbu,MZ05,MZ0515,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Tete,Cidade de Tete,MZ05,MZ0501,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-05-12,10,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Zambezia,Molundo,MZ04,MZ0415,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-02-11,385,77,0,0,0,0,0,0,32,45,0,2,0,5,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Zambezia,Dere,MZ04,MZ0404,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-05-11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Zambezia,Luabo,MZ04,MZ0409,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-05-11,0,0,0,0,0,0,0,0,0,0,0,1,2,0,200,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Zambezia,Milange,MZ04,MZ0412,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-05-11,0,0,0,0,0,0,0,0,0,0,0,2,7,0,776,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Zambezia,Mopeia,MZ04,MZ0416,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-05-11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Zambezia,Mocuba,MZ04,MZ0413,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-05-11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,230,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Zambezia,Cidade de Quelimane,MZ04,MZ0401,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-05-11,0,0,0,0,0,0,0,0,0,0,0,1,2,0,150,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Zambezia,Morrumbala,MZ04,MZ0417,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-11-26,140,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
