Posto,pop_tot,male_pop,female_pop
Pafuri,4286,2034,2252
Palma,10400,5133,5267
Panda,33851,14705,19146
Panjane,4124,1893,2231
Papai,5619,2768,2851
Pebane,72564,35184,37380
Pembe,19898,8671,11227
Pessene,14741,6954,7787
Praia de Bilene,6766,3267,3499
Pundanhar,3349,1631,1718
Quinga,29834,14921,14913
Quionga,6347,3192,3155
Quirimba,2564,1258,1306
Quissanga-Sede,4513,2134,2379
Quissico,61046,26861,34185
Quiterajo,4801,2478,2323
Quixaxe,56963,27851,29112
Rapale,58464,29153,29311
Regone,36946,17719,19227
Ressano Garcia,8997,4368,4629
Ribaue,77834,38499,39335
Rotanda,10833,5287,5546
Sabie,14787,7206,7581
Sanga(Unango),14926,7303,7623
Saua - Saua,19544,9210,10334
Savane,17119,8591,8528
Save,44054,19413,24641
Sena,36568,17217,19351
Socone,51550,23364,28186
Songo,36523,18018,18505
Subui,14495,6636,7859
Sussundenga,50693,24555,26138
Tacuane,19072,9156,9916
Tica,77047,37217,39830
Tome,11735,5191,6544
Ulongoe,141876,68667,73209
Urbano 1,207969,107842,100127
Urbano 2,133244,67491,65753
Urbano 3,167203,83936,83267
Urbano 4,107845,54948,52897
Urbano 5,8665,4579,4086
Urbano Central,12653,6119,6534
Urrene,8629,3731,4898
Vanduzi,71498,35117,36381
Vila de Canicado,5689,2519,3170
Vilankulo,70324,32658,37666
Xilembene,73549,31902,41647
Xinavane,19114,9026,10088
Zambue,14779,7262,7517
Zandamela,61449,26761,34688
Zembe,18595,9102,9493
Zimane,5182,2197,2985
Zinave,14852,6369,8483
Zitundo,5987,3085,2902
Zobue,76635,37050,39585
Zongoene,27278,12334,14944
Zulo,9180,4251,4929
Zumbo,3250,1596,1654
