period,posto,population,Posto
2018,Mossuril Sede,69249,MOSSURIL
2007,Motaze,7824,MOTAZE
2018,Motaze,10421,MOTAZE
2007,Mapheende,13522,MPHENDE
2018,Mapheende,26812,MPHENDE
2007,M'sawize,4453,M'SAWIZE
2018,M'sawize,8234,M'SAWIZE
2007,M'tamba,12549,M'TAMBA
2018,M'tamba,14827,M'TAMBA
2007,Muabanama,10653,MUABANAMA
2018,Muabanama,13522,MUABANAMA
2007,Muaguide,10158,MUAGUIDE
2018,Muaguide,11577,MUAGUIDE
2007,Mualadze,68960,MUALADZE
2018,Mualadze,176676,MUALADZE
2007,Mualama,65041,MUALAMA
2018,Mualama,92515,MUALAMA
2007,Muanza,4257,MUANZA
2018,Muanza,8655,MUANZA
2007,Muaquia,2078,MUAQUIA
2018,Muaquia,3347,MUAQUIA
2007,Muatua,35940,MUATUA
2018,Muatua,78886,MUATUA
2007,Mubangoene,30066,MUBANGOENE
2018,Mubangoene,44101,MUBANGOENE
2007,Mucoduene,61803,MUCODUENE
2018,Mucoduene,85774,MUCODUENE
2007,Mucojo,22355,MUCOJO
2018,Mucojo,28438,MUCOJO
2007,Mucuali,29353,MUCUALI
2018,Mucuali,40575,MUCUALI
2007,Mucoluane,10273,MUCULOENE
2018,Mucoluane,14934,MUCULOENE
2007,Muecate,45749,MUECATE
2018,Muecate,66505,MUECATE
2007,Mueda-Sede,52651,MUEDA
2018,Mueda-Sede,66128,MUEDA
2007,Muembe,20375,MUEMBE
2018,Muembe,34466,MUEMBE
2007,Mugazine,5577,MUGAZINE
2018,Mugazine,6722,MUGAZINE
2007,Mugeba,87770,MUGEBA
2018,Mugeba,139651,MUGEBA
2007,Muidumbe,29925,MUIDUMBE
2018,Muidumbe,35290,MUIDUMBE
2007,Muipite,9617,MUIPITE
2018,Muipite,14362,MUIPITE
2007,Muite,30653,MUITE
2018,Muite,42788,MUITE
2007,Mukumbura,30470,MUKUMBURA
2018,Mukumbura,60417,MUKUMBURA
2007,Mulevala,74665,MULEVALA
2018,Mulevala,96165,MULEVALA
2007,Mulima,25110,MULIMA
2018,Mulima,36602,MULIMA
2007,Mungari,14436,MUNGARI
2018,Mungari,25814,MUNGARI
2007,Munhamade,62264,MUNHAMADE
2018,Munhamade,79030,MUNHAMADE
2007,Muhoa,17936,MUOHA
2018,Muhoa,28730,MUOHA
2007,MurraÃ§a,24118,MURRAÇA
2018,MurraÃ§a,37661,MURRAÇA
2007,Murrebue,14497,MURREBUE
2018,Murrebue,18238,MURREBUE
2007,Murrupula,96540,MURRUPULA
2018,Murrupula,145164,MURRUPULA
2007,Mutivaze,18235,MUTIVASSE
2018,Mutivaze,33816,MUTIVASSE
2007,Mutuali,50533,MUTUALI
2018,Mutuali,70013,MUTUALI
2007,Muxungue,64638,MUXUNGUE
2018,Muxungue,104368,MUXUNGUE
2007,Muze,24450,MUZE
2018,Muze,45996,MUZE
2007,Naburi,59581,NABURI
2018,Naburi,84749,NABURI
2007,Nacala,172064,NACALA
2018,Nacala,234527,NACALA
2007,Nacala Velha,66666,NACALA-A-VELHA
2018,Nacala Velha,110924,NACALA-A-VELHA
2007,Nacaroa,53320,NACAROA
