,OBJECTID,,LC_PRI,LC_SEC,LC_TER,NOTE_,AUTOR,LC_PRI_PER,LC_SEC_PER,LC_TER_PER,HECTARES,POLY_ID,OBJECTID_1,LC_PRI_1,LC_DESCRIP,RECLASS1,RECLASS2
975,USE975,,2FD,6BA,,,7,3,2,0,26105,20627,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
994,USE994,,2FD,2FE,6BA,,3,4,1,1,26902,19748,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1013,USE1013,,2FD,2SL,,Derived from provincial land cover database,1,3,2,0,5309,18777,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1024,USE1024,,2FD,2WD,,,3,3,2,0,5239,23216,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1027,USE1027,,2FD,2WD,,,7,3,2,0,23068,24716,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1030,USE1030,,2FD,2WD,,,7,3,2,0,12965,24737,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1041,USE1041,,2FD,2SL,6BA,,4,3,1,1,5841,10336,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1042,USE1042,,2FD,6BA,,,4,3,2,0,95888,21132,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1046,USE1046,,2FD,,,,7,5,0,0,27698,17646,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1069,USE1069,,2FD,6BA,,,3,3,2,0,7987,8714,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1079,USE1079,,2FD,,,,3,5,0,0,56026,11435,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1082,USE1082,,2FD,2SL,,,5,4,1,0,2318,12870,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1109,USE1109,,2FD,,,,6,5,0,0,19584,5732,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1120,USE1120,,2FD,2WD,,Derived from provincial land cover database,1,3,2,0,5587,17851,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1125,USE1125,,2FD,2WD,,Derived from provincial land cover database,1,4,1,0,2718,18566,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1128,USE1128,,2FD,,,Derived from provincial land cover database,1,5,0,0,934,18630,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1137,USE1137,,2FD,,,Derived from provincial land cover database,1,5,0,0,11186,18417,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1138,USE1138,,2FD,2FE,,Derived from provincial land cover database,1,3,2,0,1724,18418,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1139,USE1139,,2FD,,,Derived from provincial land cover database,1,5,0,0,1593,18506,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1142,USE1142,,2FD,2FXC,2GL,Derived from provincial land cover database,1,3,1,1,1510,18509,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1160,USE1160,,2FD,2WD,6BA,,7,3,2,1,162874,22731,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1164,USE1164,,2FD,,,,3,5,0,0,1074,21645,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1165,USE1165,,2FD,2FXC,8WB,,6,3,2,1,5037,21493,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1174,USE1174,,2FD,,,,2,5,0,0,1610,16441,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1188,USE1188,,2FD,2GL,,,7,3,2,0,14692,21339,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1192,USE1192,,2FD,1TC,,,7,4,1,0,5261,23222,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1194,USE1194,,2FD,2WD,,,3,4,1,0,92167,21187,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1195,USE1195,,2FD,2WD,,,3,4,1,0,31990,22232,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1199,USE1199,,2FD,2WD,,,3,4,1,0,37871,20862,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1221,USE1221,,2FD,6BA,,,7,3,2,0,28526,18957,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1228,USE1228,,2FD,2WD,,,6,3,2,0,9229,5154,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1239,USE1239,,2FD,,,,3,5,0,0,24592,9509,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1243,USE1243,,2FD,,,,3,5,0,0,13660,22879,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1255,USE1255,,2FD,2FE,,,8,3,2,0,4775,23137,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1257,USE1257,,2FD,2FE,,,8,3,2,0,5587,23167,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1259,USE1259,,2FD,,,,4,5,0,0,8897,23295,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1290,USE1290,,2FD,2GL,,Derived from provincial land cover database,1,3,2,0,12979,25078,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1294,USE1294,,2FD,2GL,,,2,3,2,0,27941,17071,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1303,USE1303,,2FD,,,Derived from provincial land cover database,1,5,0,0,2737,18539,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1312,USE1312,,2FD,,,,5,5,0,0,1431,10551,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1318,USE1318,,2FD,,,,7,5,0,0,60399,23015,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1328,USE1328,,2FD,2FXC,,Derived from provincial land cover database,1,3,2,0,1450,17414,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1329,USE1329,,2FD,2WD,,,6,3,2,0,6908,1349,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1331,USE1331,,2FD,2WD,,,6,3,2,0,1266,1352,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1345,USE1345,,2FD,,,,5,5,0,0,80020,17192,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1348,USE1348,,2FD,2FXC,,,4,3,2,0,15116,21094,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1353,USE1353,,2FD,2FE,,,3,3,2,0,5113,16379,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1355,USE1355,,2FD,2GL,,,2,3,2,0,17277,16414,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1362,USE1362,,2FD,2SL,,,8,3,2,0,33469,17941,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1375,USE1375,,2FD,2WD,,,3,3,2,0,80616,24367,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1377,USE1377,,2FD,2WD,2SL,,4,3,1,1,18177,9441,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1393,USE1393,,2FD,2GL,,Derived from provincial land cover database,1,3,2,0,8757,18365,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1432,USE1432,,2FD,2FE,,,5,4,1,0,6055,1744,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1436,USE1436,,2FD,4HF,,,6,3,2,0,31299,1344,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1438,USE1438,,2FD,,,,2,5,0,0,27411,16609,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1439,USE1439,,2FD,2GL,,,2,4,1,0,24418,16610,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
